Sample in Buffer,Sample in Window,TRIGGER,clk_vector,trigger_adc_buf_in[7:0],trig_vector,diff[8:0],prev_frame_adc[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,HEX,SIGNED,UNSIGNED
426,426,0,0,148,0,0,148
427,427,0,0,148,0,0,148
428,428,0,0,148,0,0,148
429,429,0,1,148,0,0,148
430,430,0,1,148,0,0,148
431,431,0,0,148,0,0,148
432,432,0,0,148,0,0,148
433,433,0,0,148,0,0,148
434,434,0,1,148,0,0,148
435,435,0,1,148,0,0,148
436,436,0,0,148,0,0,148
437,437,0,0,148,0,0,148
438,438,0,0,148,0,0,148
439,439,0,1,148,0,0,148
440,440,0,1,148,0,0,148
441,441,0,0,148,0,0,148
442,442,0,0,147,0,0,148
443,443,0,0,147,0,0,148
444,444,0,1,147,0,0,148
445,445,0,1,147,0,0,148
446,446,0,0,147,0,0,148
447,447,0,0,148,0,1,148
448,448,0,0,148,0,1,148
449,449,0,1,148,0,1,148
450,450,0,1,148,0,1,148
451,451,0,0,148,0,1,148
452,452,0,0,148,0,0,148
453,453,0,0,148,0,0,148
454,454,0,1,148,0,0,148
455,455,0,1,148,0,0,148
456,456,0,0,148,0,0,148
457,457,0,0,148,0,0,148
458,458,0,0,148,0,0,148
459,459,0,1,148,0,0,148
460,460,0,1,148,0,0,148
461,461,0,0,148,0,0,148
462,462,0,0,148,0,0,147
463,463,0,0,148,0,0,147
464,464,0,1,148,0,0,147
465,465,0,1,148,0,0,147
466,466,0,0,148,0,4,147
467,467,0,0,148,0,-1,148
468,468,0,0,148,0,-1,148
469,469,0,1,148,0,-1,148
470,470,0,1,148,0,-1,148
471,471,0,0,148,0,-13,148
472,472,0,0,148,0,0,148
473,473,0,0,148,0,0,148
474,474,0,1,148,0,0,148
475,475,0,1,148,0,0,148
476,476,0,0,148,0,0,148
477,477,0,0,148,0,0,148
478,478,0,0,148,0,0,148
479,479,0,1,148,0,0,148
480,480,0,1,148,0,0,148
481,481,0,0,148,0,0,148
482,482,0,0,147,0,0,148
483,483,0,0,147,0,0,148
484,484,0,1,147,0,0,148
485,485,0,1,147,0,0,148
486,486,0,0,147,0,0,148
487,487,0,0,148,0,1,148
488,488,0,0,148,0,1,148
489,489,0,1,148,0,1,148
490,490,0,1,148,0,1,148
491,491,0,0,148,0,1,148
492,492,0,0,148,0,0,148
493,493,0,0,148,0,0,148
494,494,0,1,148,0,0,148
495,495,0,1,148,0,0,148
496,496,0,0,148,0,0,148
497,497,0,0,148,0,0,148
498,498,0,0,148,0,0,148
499,499,0,1,148,0,0,148
500,500,0,1,148,0,0,148
501,501,0,0,148,0,0,148
502,502,0,0,148,0,0,148
503,503,0,0,148,0,0,148
504,504,0,1,148,0,0,148
505,505,0,1,148,0,0,148
